name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Longnose Gar,North-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus,Unknown,Unknown,Unknown,Not known,Birds that prey on fish,Long body with a beak-like mouth,The needle nose gar or the Billy gar,7-9 days,"Brackish waters, fresh waters, saline waters (Not salty waters). Found in Texas, Mexico, Florida, Michigan, and Wisconsin",Carnivore,Unknown,Unknown,Longnose gar,Unkown,Unknown,Unknown,Unknown,BrownGreyBlackOlive,Scales,Unknown,Up to 20 years,28 lbs,Up to 6.5 feet,Unknown,Unknown,Unknown,Birds that prey on fish,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Menhaden, sunfish, and perch",Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,4.8 to 6.4,Unknown,Unknown,1,0,0,12.6,Unknown
Lumpfish,Ocean,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,"Crustaceans, worms, jellyfish, herring, sand lance, and more",Unknown,Solitary,Unknown,Overfishing,"The lumpy, gelatinous flesh",Lumpsuckers,1-2 months,Atlantic and Pacific Oceans,Carnivore,Unknown,Unknown,Lumpfish,30.0,Unknown,Unknown,Unknown,BrownGreyBlueBlackWhite,Skin,Unknown,6-13 years,Up to 9.5kg (21lbs), 2-61cm (1-24in),Unknown,Unknown,Unknown,"Skates, seals, sperm whales, sharks, and orcas",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,2,31.5
Mahi Mahi (Dolphin Fish),Central-America,Animalia,Chordata,Actinopterygii,Carangiformes,Coyphaenidae,Coryphaena,Coryphaena hippurus,"Crustacean, squid, fish",Unknown,School,Unknown,None,Its vivid colors,"Dorado, llampuga (Spanish), lampuka (Malta), lampuga or capone (Sicily), Coryphene (French), Goldmakrel (German), Shiira (Japanese)",41 - 45 hours,"Temperate, tropical, and subtropical waters",Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlueGoldGreenBeige,Scales,Unknown,4 - 5 years,15 - 29 pounds,39.3 inches,3 - 5 months,Unknown,Unknown,"Humans, larger fish, marine mammals",Fish,Unknown,Blunt face,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9.9,98
Mahi Mahi (Dolphin Fish),North-America,Animalia,Chordata,Actinopterygii,Carangiformes,Coyphaenidae,Coryphaena,Coryphaena hippurus,"Crustacean, squid, fish",Unknown,School,Unknown,None,Its vivid colors,"Dorado, llampuga (Spanish), lampuka (Malta), lampuga or capone (Sicily), Coryphene (French), Goldmakrel (German), Shiira (Japanese)",41 - 45 hours,"Temperate, tropical, and subtropical waters",Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlueGoldGreenBeige,Scales,Unknown,4 - 5 years,15 - 29 pounds,39.3 inches,3 - 5 months,Unknown,Unknown,"Humans, larger fish, marine mammals",Fish,Unknown,Blunt face,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9.9,98
Mahi Mahi (Dolphin Fish),Ocean,Animalia,Chordata,Actinopterygii,Carangiformes,Coyphaenidae,Coryphaena,Coryphaena hippurus,"Crustacean, squid, fish",Unknown,School,Unknown,None,Its vivid colors,"Dorado, llampuga (Spanish), lampuka (Malta), lampuga or capone (Sicily), Coryphene (French), Goldmakrel (German), Shiira (Japanese)",41 - 45 hours,"Temperate, tropical, and subtropical waters",Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlueGoldGreenBeige,Scales,Unknown,4 - 5 years,15 - 29 pounds,39.3 inches,3 - 5 months,Unknown,Unknown,"Humans, larger fish, marine mammals",Fish,Unknown,Blunt face,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9.9,98
Man of War Jellyfish,Ocean,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Physaliidae,Physalia,Physalia physalis,"Small fish, shrimp, plankton",Unknown,Legion,unknown,predators and climate change,"floating balloon-like, air-filled bladder","man o'war, bluebottle, blue bottle jellyfish",Unknown,tropical and sub-tropical oceans,Carnivore,Unknown,Unknown,Man of war jellyfish,1.0,Unknown,Unknown,Unknown,BluePurplePink,Skin,Unknown,Unknown,Unknown,30ft - 165ft,Unknown,Unknown,Unknown,"loggerhead sea turtle, blue sea slug, violet sea snail",siphonophore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,2971
Manta Ray,Ocean,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Manta,Unknown,Zooplankton,Unknown,Solitary,Unknown,"Fishing, harvesting for international trade","Broad, flat bodies",Devil fish,12 to 13 months,All world oceans,Carnivore,Unknown,Unknown,Manta Ray,2.0,Unknown,Can grow up to 9m wide!,Unknown,GreyBlueBlackWhite,Smooth,20 mph,50 years,"5,300 pounds",23 feet,Unknown,Unknown,Unknown,"Sharks, Humans, Killer Whales",Fish,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,"Fish, Plankton, Shrimp",Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6 - 9,Unknown,Unknown,1,0,0,Unknown,701
Megalodon,,Animalia,Chordata,Chondrichthyes,Lamnifores,Otodontidae,Otodus,Otodus megalodon,"Baleen whales, toothed whales, sea turtles, sharks",Unknown,Solitary,Extinct,Unknown,Unknown,Unknown,Unknown,Coastal ocean waters,Carnivore,Unknown,Solitary,Unknown,Unkown,Fossils found in oceans across the world,The largest shark to ever live!,Unknown,Unknown,Tough,Unknown,Unknown,"'Conservatively' estimated at 100,000 pounds",Estimated at 50 feet,Unknown,Unknown,Unknown,Livyatan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Baleen whales,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,45000,Unknown
Megamouth Shark,Ocean,Animalia,Chordata,Chondrichthyes,Lamniformes,Megachasmidae,Megachasma,Megachasma pelagios,Unknown,Unknown,Solitary,Unknown,Incidental bycatch,Tremendously large mouth full of teeth,Big mouth shark,Unknown,Oceans,Carnivore,Unknown,Unknown,Megamouth shark,1.0,Unknown,Unknown,Unknown,BrownBlackWhite,Rough,1.3 mph,Unknown,"1,760lbs",13ft-18ft,Unknown,Unknown,Unknown,Unknown,Cetorhinidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Plankton, jellyfish, shrimp, copepods",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,792,472
Mekong Giant Catfish,Asia,Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon gigas,"Plants, algae, and zooplankton",Unknown,Mainly solitary,A few hundred,Damming,Low-set eyes,Pa beuk (in Laos),Unknown,Mekong River,Herbivore,Unknown,Unknown,Mekong Giant Catfish,1.0,Unknown,Unknown,Unknown,GreyWhite,Skin,Unknown,60 years,"Up to 646 lbs, possibly more",Up to 10 ft,Unknown,Unknown,Unknown,Humans, Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,145,152
Milkfish,Asia,Animalia,Chordata,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,Chanos chanos,Algae and small invertebrates,Unknown,School,Milkfish production exceeds 1.1 million tons per year,Parasites or nematode infestations that cause tail rot and other health issues,Deeply forked tail,Bandeng or Bangos,1 to 2 days,Tropical freshwater lakes and rivers,Omnivore,Unknown,Unknown,Milkfish,1.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,Unknown,Up to 15 years,Up to 35 pounds,Up to 6 feet or more,Unknown,Unknown,Unknown,Indo-Pacific Tarpons and Tenpounders,Ray-finned fish (Actinopterygii),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,7.8,91.44
Milkfish,Ocean,Animalia,Chordata,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,Chanos chanos,Algae and small invertebrates,Unknown,School,Milkfish production exceeds 1.1 million tons per year,Parasites or nematode infestations that cause tail rot and other health issues,Deeply forked tail,Bandeng or Bangos,1 to 2 days,Tropical freshwater lakes and rivers,Omnivore,Unknown,Unknown,Milkfish,1.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,Unknown,Up to 15 years,Up to 35 pounds,Up to 6 feet or more,Unknown,Unknown,Unknown,Indo-Pacific Tarpons and Tenpounders,Ray-finned fish (Actinopterygii),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,7.8,91.44
Mojarra,Central-America,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Unknown,Unknown,"Worms, bivalves, shrimp, and more, in addition to plant matter",Unknown,Unknown,Unknown,Overfishing,Shimmering silvery scales,"Silver perch, sand perch, silver biddy, and more",Unknown,Unknown,Omnivore,Unknown,School,Mojarra,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,Up to 2 pounds,Up to 14 inches,Unknown,Unknown,Unknown,Sharks and other large fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Varies by species,Unknown,Unknown,1,0,0,0.45,18.75
Mojarra,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Unknown,Unknown,"Worms, bivalves, shrimp, and more, in addition to plant matter",Unknown,Unknown,Unknown,Overfishing,Shimmering silvery scales,"Silver perch, sand perch, silver biddy, and more",Unknown,Unknown,Omnivore,Unknown,School,Mojarra,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,Up to 2 pounds,Up to 14 inches,Unknown,Unknown,Unknown,Sharks and other large fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Varies by species,Unknown,Unknown,1,0,0,0.45,18.75
Mojarra,South-America,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Unknown,Unknown,"Worms, bivalves, shrimp, and more, in addition to plant matter",Unknown,Unknown,Unknown,Overfishing,Shimmering silvery scales,"Silver perch, sand perch, silver biddy, and more",Unknown,Unknown,Omnivore,Unknown,School,Mojarra,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,Up to 2 pounds,Up to 14 inches,Unknown,Unknown,Unknown,Sharks and other large fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Varies by species,Unknown,Unknown,1,0,0,0.45,18.75
Mola mola (Ocean Sunfish),Ocean,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,"Crustaceans, jellyfish, squid, sponges, and fish",Unknown,Solitary,Unknown,Overfishing,The oval-shaped body,Common mola,Unknown,Unknown,Carnivore,Unknown,Unknown,Ocean sunfish,1.0,Worldwide,Unknown,Unknown,BrownGreySilver,Skin,Unknown,Unknown,"Up to 2,200kg (5,000lbs)", Up to 3.1m (10ft),Unknown,Unknown,Unknown,"Sharks, orcas, sea lions, and other fish",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,150
Molly,Central-America,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rivers in the Amazon Rainforest,Omnivore,Unknown,Unknown,Molly,Unkown,Unknown,Known for their calm and peaceful nature!,Unknown,BrownYellowRedBlueBlackWhiteGreenOrange,Scales,Unknown,3 - 5 years,Unknown,5cm - 10cm (2in - 4in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Large-sized fins and bear live young,Unknown,Unknown,80.0,Unknown,Unknown,"Algae, Insects, Bloodworm",Saltwater,Unknown,Unknown,Algae,Unknown,Unknown,7.5 - 8.5,Unknown,Unknown,1,0,0,Unknown,15
Molly,South-America,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rivers in the Amazon Rainforest,Omnivore,Unknown,Unknown,Molly,Unkown,Unknown,Known for their calm and peaceful nature!,Unknown,BrownYellowRedBlueBlackWhiteGreenOrange,Scales,Unknown,3 - 5 years,Unknown,5cm - 10cm (2in - 4in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Large-sized fins and bear live young,Unknown,Unknown,80.0,Unknown,Unknown,"Algae, Insects, Bloodworm",Saltwater,Unknown,Unknown,Algae,Unknown,Unknown,7.5 - 8.5,Unknown,Unknown,1,0,0,Unknown,15
Monkfish,,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Unknown,"Crustaceans, fish, seabirds, otters",Unknown,Unknown,Unknown,Overfishing,"Large mouth and unique ""lure"" to attract prey","goosefish, angler, fishing frogs, Lotte",Unknown,"Oceans. Generally found at 20 to 1,000 meter depths.",Carnivore,Unknown,Unknown,Unknown,7.0,Unknown,"Called ""The Poor Man's Lobster!""",Unknown,Brown,Hair,Unknown,Different species live from 10 to 30 years,The angler can weigh up to 127 pounds!,Up to 78 inches,Unknown,Unknown,Unknown,"Sharks, swordfish, large skate species",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fish,Salt,Unknown,1 million,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,28,97.5
Moray Eel,Ocean,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Unknown,Muraenidae,Unknown,Elver,Solitary,Unknown,Unknown,Two sets of jaws -- one at the front of their mouths and one (pharyngeal) in their throats,Unknown,Unknown,Coastal and deep waters,Carnivore,Unknown,Unknown,Moray Eel,Unkown,Unknown,Unknown,Fish,BrownGreyYellowBlueBlackWhiteGreenOrange,Scales,Unknown,10-30 years,Unknown,4.5 inches to 13 feet,Unknown,Unknown,Unknown,"Sharks, Humans, Barracuda",Unknown,Unknown,A long dorsal fin that can run the length of their back,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Squid, Crustaceans",Salt,Unknown,Unknown,Fish,Unknown,Unknown,5-7,Unknown,Unknown,1,0,0,Unknown,Unknown
Needlefish,Africa,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",Unknown,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,Unknown,Unknown,"needlefish, garfish",60.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,Unknown,Unknown,Unknown,"tuna, dolphins, humans",belonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1,Unknown
Needlefish,Asia,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",Unknown,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,Unknown,Unknown,"needlefish, garfish",60.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,Unknown,Unknown,Unknown,"tuna, dolphins, humans",belonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1,Unknown
Needlefish,Central-America,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",Unknown,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,Unknown,Unknown,"needlefish, garfish",60.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,Unknown,Unknown,Unknown,"tuna, dolphins, humans",belonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1,Unknown
Needlefish,North-America,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",Unknown,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,Unknown,Unknown,"needlefish, garfish",60.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,Unknown,Unknown,Unknown,"tuna, dolphins, humans",belonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1,Unknown
Needlefish,Oceania,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",Unknown,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,Unknown,Unknown,"needlefish, garfish",60.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,Unknown,Unknown,Unknown,"tuna, dolphins, humans",belonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1,Unknown
Needlefish,South-America,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",Unknown,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,Unknown,Unknown,"needlefish, garfish",60.0,Unknown,Unknown,Unknown,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,Unknown,Unknown,Unknown,"tuna, dolphins, humans",belonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1,Unknown
Nudibranch,Ocean,Animalia,Mollusca,Gastropoda,Nudibranchia,Unknown,Unknown,Nudibranchia,"Other nudibranches or sea slugs, coral, anemones, sponges, hydrozoans, planktonic invertebrates, sea butterflies, or other sea creatures depending on the species",Unknown,Solitary,unknown,None,Bright colors and various forms,Sea slug,5-50 days depending on the species,"Saltwater, brackish water",Carnivore,Unknown,Unknown,Sea slug,Unkown,Unknown,Unknown,Unknown,YellowRedBlueGreenPurplePink,Smooth,-2.8 mph,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Other nudibranchs, turtles, some crabs, humans",Mollusk,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,Unknown
Nurse Shark,Ocean,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,Ginglymostoma cirratum,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Warm waters and tropical coastal regions,Carnivore,20,Solitary,Unknown,Unkown,Unknown,Commonly found in Central American waters!,Unknown,BrownGreyBlackWhite,Smooth,25 mph,20-25 years,90-150kg (198-330lbs),Unknown,Unknown,Unknown,Unknown,"Human, Bull Shark, Tiger Shark",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Squid, Fish, Octopus",Unknown,Unknown,Unknown,Squid,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,120,Unknown
Octopus,Ocean,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Unknown,Octopus Vulgaris,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical and temperate waters worldwide,Omnivore,80,Solitary,Unknown,Unkown,Unknown,There are around 300 different species!,Unknown,BrownRedBlueTanOrangePurple,Smooth,27 mph,2-15 years,5-75kg (11-165lbs),Unknown,Unknown,Unknown,Unknown,"Eels, Sharks, Dolphins",Mollusca,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Crabs, Fish, Scallops",Unknown,Unknown,Unknown,Crabs,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,40,
Oscar Fish,Europe,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus ocellatus,"Catfish, insects, insect larvae, freshwater clams, snails and shrimp",Unknown,Social,Unknown,pollution,"stocky, large body","Velvet cichlid, marble cichlid, tiger oscar, red oscar",2-3 days,Shallow rivers and river basins with muddy or sandy bottoms,Omnivore,Unknown,Unknown,Oscar fish,Unkown,Unknown,Unknown,Unknown,BrownYellowRedBlueGreenOrange,Scales,60 mph,10 or more years in captivity,3.5 pounds,13.78 to 15 inches,Unknown,Unknown,Unknown,"Piranhas, humans, waterbirds, reptiles",fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1.5,36
Oscar Fish,North-America,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus ocellatus,"Catfish, insects, insect larvae, freshwater clams, snails and shrimp",Unknown,Social,Unknown,pollution,"stocky, large body","Velvet cichlid, marble cichlid, tiger oscar, red oscar",2-3 days,Shallow rivers and river basins with muddy or sandy bottoms,Omnivore,Unknown,Unknown,Oscar fish,Unkown,Unknown,Unknown,Unknown,BrownYellowRedBlueGreenOrange,Scales,60 mph,10 or more years in captivity,3.5 pounds,13.78 to 15 inches,Unknown,Unknown,Unknown,"Piranhas, humans, waterbirds, reptiles",fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1.5,36
Oscar Fish,South-America,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus ocellatus,"Catfish, insects, insect larvae, freshwater clams, snails and shrimp",Unknown,Social,Unknown,pollution,"stocky, large body","Velvet cichlid, marble cichlid, tiger oscar, red oscar",2-3 days,Shallow rivers and river basins with muddy or sandy bottoms,Omnivore,Unknown,Unknown,Oscar fish,Unkown,Unknown,Unknown,Unknown,BrownYellowRedBlueGreenOrange,Scales,60 mph,10 or more years in captivity,3.5 pounds,13.78 to 15 inches,Unknown,Unknown,Unknown,"Piranhas, humans, waterbirds, reptiles",fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6-8,Unknown,Unknown,1,0,0,1.5,36
Oyster,Ocean,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Unknown,Ostreidae,Algae and other food particles,Unknown,Colony,Unknown,"Crabs, seabirds, humans, starfishes",Shells,Unknown,7-10 days,Reefs and rocky shores,Omnivore,"1,000,000",Unknown,Oyster,200.0,Worldwide,Can process up to 10 litres of water an hour!,Unknown,GreyWhiteSilver,Shell,Unknown,20 years in captivity,50 grams (medium-sized oyster),62 to 64 mm,Unknown,Unknown,Unknown,"Crabs, seabirds, humans, starfishes",Marine creatures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Algae and other food particles,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.05,0.63
Oyster Toadfish,Ocean,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus tau,"Mollusks, crustaceans, squids, worms, and fish",Unknown,Solitary,Unknown,predators,"The long mouth and big, bulging eyes","Dowdies, oyster crackers, and oyster catchers",a month,Unknown,Omnivore,Unknown,Unknown,Oyster Toadfish,-1.0,Unknown,Unknown,Unknown,BrownYellowBlack,Skin,Unknown,up to 24 years,three to five pounds,eight to 17 inches,Unknown,Unknown,Unknown,Sharks and large fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6.6-7.2 pH,Unknown,Unknown,1,0,0,1.8,31
Paddlefish,Asia,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Unknown,Unknown,Zooplankton,Unknown,Unknown,Unknown,Humans,"Long, paddlelike snout","Mississippi paddlefish, spoonbill",7 days,Rivers,Carnivore,Unknown,Unknown,paddlefish,1.0,Unknown,Unknown,Unknown,GreyGreen,Smooth,Unknown,30 years,60 pounds,4.9 feet,Unknown,Unknown,Unknown,Lampreys,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,27,149
