name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Blood Python,['Asia'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Brongersmai,Python brongersmai,"Rats, mice, and other rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Blood Python,Unkown,Unknown,Unknown,Unknown,BrownYellowRedOrange,Scales,1 mph,up to 25 years,up to 30 pounds,5–8 feet; females are larger than males,2-4 years,Unknown,Between 12 and 14 eggs,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Western Rat Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,P. obsoletus,"Lizards, rats, mice, birds, squirrels, chipmunks",Hatchlings,Solitary,Unknown,Unknown,Adults have glossy black bodies that sometimes show faint patterns.,"western rat snake, black rat snake, pilot black snake, black snake",Unknown,"Rocky hillsides, farmland, abandoned buildings, forested areas",Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Season,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyBlack,Scales,Unknown,20 years,Unknown,Unknown,Unknown,Unknown,6-20,Unknown,Unknown,Unknown,Unknown,Docile,Unknown,Unknown,Unknown,Unknown,Unknown,"Rats, mice",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Yellow Anaconda,['South-America'],Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,E. notaeus,"capybara, peccaries, caimans, fish, birds, small deer",Neonates,Solitary,Unknown,People hunting them for skins and in retaliation for livestock predation,Unknown,"Paraguayan anaconda, yakumama, matatoro, sucuri",About 6 months,Unknown,Carnivore,Unknown,Nocturnal,Yellow Anaconda,Unkown,Unknown,Unknown,Unknown,BrownYellowDull Olive,Scales,Unknown,15-23 (longer in captivity),Adults weigh 55-80 pounds,10-15 feet,3-4 years,Unknown,20-40,Unknown,Unknown,Unknown,"Dorsal blotches, noticeably yellow base color",Apt to bite,Unknown,Unknown,Unknown,Unknown,-2.0,Unknown,Saltwater,Unknown,Unknown,Unknown,Unknown,South America,Unknown,1,0,0,0.0206951295571809,20.828
Cantil,['Central-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,"A. bilineatus, A. howardgloydi, A. russeolus, A. taylori",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,1-21,Unknown,"Common cantil, Taylor’s cantil, Yucatecan cantil, Gloyd's, or southern cantil",Unkown,Unknown,Unknown,Unknown,BrownYellowBlackWhiteOrange,Unknown,Unknown,Five to 10 years,Unknown,25.2 to 41 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,182.88
Egyptian Cobra,['Africa'],Animalia,Chordata,Reptilia,squamata,Elapidae,Naja,Naja haje,"Toads, small mammals, birds, eggs, lizards, other snakes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,20-30 years,Up to 20 lbs,Up to 8 feet,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Toads, small mammals, birds, eggs, lizards, other snakes",Unknown,Unknown,1,0,0,,152.4
Harlequin Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Elapidae,Micrurus,Micrurus fulvius,"Lizards, smaller snakes, frogs, and insects",Unknown,Unknown,"100,000",Unknown,"Black, red, and yellow bands of color",Unknown,Unknown,"Forests, dry scrublands, hammocks, and near wetlands.",Carnivore,Unknown,Diurnal,Coral Snake,Unkown,Unknown,"Red touches yellow kills a fellow, red touches black a friend of Jack.",Unknown,YellowRedBlack,Scales,Unknown,Up to 12 years,Unknown,20 - 30 inches,Unknown,Unknown,Unknown,"Owls, red-tailed hawks, another predators",Unknown,Unknown,Their bands of color cover both their backs and their bellies.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Underground,Unknown,Unknown,Unknown,Unknown,1,0,0,0.015,13.97
Texas Rat Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis obsoletus lindheimeri,"Rodents, reptiles, frogs, birds, eggs, and insects",Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,"forests, grasslands, swamps, and suburban and urban areas.",Carnivore,Unknown,Nocturnal,Texas rat snake,Unkown,south-central region of the United States,Unknown,Unknown,BrownGreyYellowGreen,Scales,Unknown,10-20 years,Unknown,4 to 6 feet,Unknown,Unknown,12-20 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.015,13.97
Flying Snake,['Asia'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Chrysopelea,Chrysopelea ornata," Rodents, bats, birds, and their eggs, frogs, smaller snakes and lizards","Hatchlings, snakelets",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,In the forests and jungles of western India and east to Indonesia,Omnivore,Unknown,Unknown,Unknown,8.0,Unknown,Unknown,Unknown,RedBlackGoldGreen,Scales,Unknown,10 years,1.2 to 2 pounds,2 to 4 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.453592,77.47
Leopard Tortoise,['Africa'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,Stigmochelys pardalis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Grassland and savannah,Herbivore,Unknown,Solitary,Unknown,Unkown,Unknown,The most widely distributed tortoise in Africa!,Unknown,BrownGreyYellowBlackTan,Scales,0.3 mph,50 - 100 years,18kg - 54kg (40lbs - 120lbs),40cm - 70cm (16in - 28in),Unknown,Unknown,Unknown,"Cats, Dogs, Humans",Reptile,Unknown,"Large body size and protective, patterned shell",Unknown,Unknown,Unknown,Unknown,Unknown,12.0,"Grasses, Weeds, Flowers",Unknown,Unknown,Unknown,Unknown,Grasses,Unknown,Unknown,1,0,0,4.9895160700000005,121.92
Galapagos Tortoise,['Ocean'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis nigra,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Volcanic lowlands and shrub land,Herbivore,24,Solitary,Unknown,Unkown,Unknown,The biggest species of tortoise in the world!,Unknown,BrownGrey,Scales,0.3 mph,100-150 years,200-300kg (441-661lbs),Unknown,Unknown,Unknown,Unknown,"Human, Hawk, Wild dogs",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Fruit, Cactus",Unknown,Unknown,Unknown,Unknown,Grass,Unknown,Unknown,1,0,0,,137.16
Leopard Gecko,['Asia'],Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Eublepharis,Eublepharis macularius,Unknown,Unknown,Solitary,Unknown,Unknown,Lacks sticky foot pads like most gecko species; has fully-functional eyelids; is able to drop its tail as a defense mechanism (autotomy),Unknown,Unknown,"Arid, rocky deserts and scrublands throughout the Middle East; countries include India, Afghanistan, Pakistan, Nepal, and Iran",Carnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowBlackWhiteOrange,Scales,Unknown,Roughly 8 to 15 years (lives longer in captivity on average),50 to 80 grams (adults),7 to 11 inches (adults),18 to 24 months,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Crickets, mealworms, superworms, waxworms, dubia roaches",Unknown,Unknown,1,0,0,9.0718474,121.92
Whiptail Lizard,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Teiidae,Unknown,Unknown,"termites, beetles, ants",Hatchling,Solitary,Unknown,"Human overgrazing, habitat loss",Long and whiplike tail,Racerunner,two month,"Desert, woods, grasslands",Carnivore,Unknown,Unknown,whiptail lizard,150.0,"North America, Central America, South America, West Indies",Unknown,solitary,BrownGreyTan,Scales,17 mph,seven+ years,under an ounce,"1"" to 2""",two years,Unknown,two to four eggs,"Gila lizards, coyotes, hawks, foxes",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,11.0,9.0
Corn Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,P. guttatus,"Rats, mice, baby birds, eggs",Hatchling,Solitary,Unknown,Unknown,"Shield pattern on their back, and","Red cornsnake, chicken snake, red rat snake, eastern corn snake.",Unknown,"Forested areas, fields, swamps, hardwood hammocks, neighborhoods bordering habitat.",Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Season,"Corn snake, red rat snake, eastern red rat snake, Slowinski's rat snake, .",2.0,Unknown,Unknown,Unknown,BrownGreyRedBeigeLight-Brown,Scales,Unknown,"15 years in captivity, less in the wild",Unknown,Unknown,Unknown,Unknown,10-30,"Birds of prey, other carnivores, some snakes, coyotes, cats.",Unknown,Unknown,Unknown,Relatively docile,Unknown,Unknown,Unknown,Unknown,Unknown,Rats and mice,Unknown,Unknown,Unknown,Unknown,Rats and mice,Unknown,Unknown,1,0,0,11.0,91.44
Gopher Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis catenifer,"Small mammals (including pocket gophers), birds, bird eggs, lizards, insects, and sometimes bats.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Pacific gopher snake,Unkown,Unknown,Unknown,Unknown,YellowRedTanDark BrownCream,Unknown,Unknown,"15 years in wild, 33 years in captivity.",Unknown,4-9 feet,Unknown,Unknown,Hatchlings,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,68.58
Sea Turtle,['Ocean'],Animalia,Chordata,Reptilia,Testudines,Chelonioidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical coastal waters and beaches,Omnivore,100,Solitary,Unknown,Unkown,Unknown,Always return to the same beach to lay eggs!,Unknown,BrownTanGreen,Scales,2.4 mph,60-80 years,158-400kg (350-882lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Crabs, Seaweed, Jellyfish",Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,1,0,0,,68.58
Collett’s Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudechis,Pseudechis colletti,"Amphibians, reptiles, small mammals, and other Collett’s snakes.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,20,Unknown,Collett’s black snake or Down's tiger snake,Unkown,Unknown,Unknown,Unknown,YellowBlackDark BrownCreamOrangePink,Unknown,Unknown,Unknown,Unknown,5.9 to 7.2 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,13.0,150.0
Horned Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,Unknown,"Ants, beetles, spiders, insects, and sometimes pebbles",Hatchlings,Solitary,Not known,"Dogs, wolves, hawks, snakes, roadrunners, pesticides as well as human activities",Horns all over their bodies and also the crown of their heads,none,40 days,Desert like fine sand areas and dense forest areas.,Carnivore,Unknown,Unknown,Horned lizards,14.0,primarily North and Central America,Unknown,Solitary,BrownGreyYellowRed,Scales,Unknown,At least five years,25-90 grams (1.8-2.5 grams as a yearling),approximately 3.75 inches,13 months,Unknown,27 eggs,"Dogs, wolves, hawks, snakes, roadrunners",Scaled reptiles,approximately 3.75 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,13.0,150.0
River Jack Snake,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,Bitis nasicornis,"Rodents, amphibians, fish, and other small mammals",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,6-35 eggs,Unknown,River jack snake,Unkown,Unknown,Unknown,Unknown,Multi-colored,Unknown,Unknown,8 years on average,Unknown,Up to 4 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,13.0,150.0
Arafura File Snake,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus arafurae,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,10 to 27,Unknown,Elephant trunk snake,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10 years,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Gray with black splotches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,152.4
Cat-Eyed Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptodeira,Leptodeira annulata,"Frogs, lizards, salamanders, fish, and rodents",Unknown,Unknown,Unknown,Habitat destruction and deforestation,Huge eyes in relation to body size with vertical pupils that resemble a cat's,Unknown,Unknown,"Grasslands, scrublands, and rainforests throughout the Americas",Carnivore,Unknown,Unknown,Cat-eyed snake,Unkown,Unknown,Unknown,Unknown,BrownGoldOrange,Scales,Unknown,Unknown,Unknown,Up to five feet stretched out,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Blotches or saddle patterns along the back,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.90718474,91.44
King Cobra,['Asia'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,"Lizards, birds, other snakes",Hatchlings,Unknown,Unknown,"Poaching, habitat loss",An expanding hood,hamadryad,66-105 days,"Forest, shrublands, wetlands",Carnivore,Unknown,Diurnal,King Cobra,20.0,South and southeast Asia,Unknown,Solitary,BrownYellowBlackGreen,Scales,12 mph,About 20 years,Unknown,Unknown,Unknown,Unknown,21 to 40 eggs,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Lazarus Lizard,"['Europe', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,Insects,Unknown,Solitary,Unknown,"Birds, domestic cats, and snakes.",Unknown,"Birds, domestic cats, and snakes.",Unknown,"Parks, rock walls, rocky environments, urban settings.",Carnivore,Unknown,Unknown,European wall lizard,1.0,"North America, northern Italy, Europe.",Unknown,Solitary,BrownGreyGreen,Scales,7 mph,7-10 years old,0.5 ounces,8 inches,2-3 years old,Unknown,2-5 eggs,"Birds, domestic cats, and snakes.",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,72.12118683,262.128
Fer-de-lance Snake,"['Central-America', 'Europe', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,"B. asper, B. atrox, B. lanceolatus","Centipedes, beetles, grasshoppers, crayfish, eels, common possum, Brazilian cottontail",Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,5 to 86,Nocturnal,Fer-de-Lance,Unkown,Unknown,Unknown,Unknown,BrownGreyGreenOlive,Scales,Unknown,6.5 to 21 years,13lb,1.2 to 1.8 meters (3.9 to 5.9 ft),Unknown,Unknown,Unknown,Goliath birdeater spiders,Unknown,Unknown,"Dark splotches on brown, olive, gray, rust, green or gray ground",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,5.0,80.0
Horned Viper,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Cerastes cerastes,"Rodents, lizards, birds",Unknown,Unknown,Unknown,Unknown,Unknown,horned sand viper and desert horned viper,Unknown,Unknown,Carnivore,Unknown,Unknown,horned viper,Unkown,Unknown,Unknown,Unknown,TanSandyGrey-BrownLight-Brown,Scales,Unknown,14 to 18 years,Unknown,12–24 inches,Unknown,Unknown,8 to 20,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,20.41165665,1.0
Draco Volans Lizard,['Asia'],Animalia,Chordata,Reptilia,Squamata,Agamidae,Draco,Draco volans,"Insects, especially ants and termites",Hatchling,Solitary,Unknown but conservation status is Least Concern.,"Predators such as birds of prey, larger reptiles, pet trade","Its “wings,” a patagium spread supported by ribs","Flying lizard, gliding lizard",Eggs hatch in 32 days,Second growth forest,Carnivore,Unknown,Unknown,Common flying dragon,Unkown,"Southeast Asia, south India, Philippines",Unknown,Unknown,YellowBlueTan,Scales,17 mph,Eight years,0.73 ounces,"7.7 to 8.7 inches, females larger",Unknown,Unknown,Five,"Birds of prey, larger lizards, tree snakes",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,250.0,
Chicken Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Spilotes,Spilotes pullatus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,12 to 18,Unknown,"Chicken snake, caninana, tiger rat snake, serpiente tigre, clibo",Unkown,Unknown,Unknown,Unknown,YellowBlackMulti-colored,Unknown,Unknown,10 to 18 years,Unknown,4 to 7 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Leopard Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Gambelia,Unknown,"Smaller lizards, insects, rodents, berries, leaves",Juvenile lizard,Solitary,Unknown,Habitat loss,Long tail,Long-nosed or blunt-nosed leopard lizard,Two months,"Semiarid plains, scrublands",Omnivore,Unknown,Unknown,Leopard lizard,3.0,Southwestern United States and Mexico,Unknown,Solitary,YellowWhiteDark BrownLight-Brown,Scales,Unknown,6 to 8 years,0.8 to 1.5 ounces,up to 12 inches head to tip of tail,Unknown,From birth,2-6 eggs,"Snakes, coyotes, birds",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,1.0
Arizona Black Rattlesnake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. cerberus,"Lizards, amphibians, small mammals, and occasionally birds.",Neonate,Semi-socialCommunity-minded,Unknown,Unknown,Unknown,"Arizona black rattlesnake, black rattlesnake, black diamond rattlesnake, brown rattlesnake, Cerberus rattlesnake, mountain diamond-back; often called a timber rattlesnake.",Unknown,"Forests, leaf litter",Carnivore,Unknown,DiurnalSolitarySociableor Nocturnal Depending on Region and Season,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowFawnRedOlive-GreyGrey-Brown,Scales,Unknown,15-20 years,Unknown,2-4 feet,Unknown,Unknown,4-10,"Hawks, other snakes, coyotes, and other predators.",Unknown,Unknown,Unknown,Docile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Small mammals,Unknown,Unknown,1,0,0,150.0,500.0
Sand Viper,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Cerastes,Cersates viperus,"lizards, geckos, small mammals",Unknown,Unknown,Unknown,Unknown,Unknown,"Saharan Sand Viper, Common Sand Viper",Unknown,Unknown,Carnivore,Unknown,Unknown,sand viper,Unkown,Unknown,Unknown,Unknown,Tan,Scales,Unknown,15 - 18 years,Unknown,12 - 20 inches,Unknown,Unknown,up to eight live young,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.8143694800000003,
Mexican Black Kingsnake,['Not Evaluated'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis getula nigrita,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Mexican black kingsnake,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,20 to 30 years,Unknown,3 to 4 feet,Unknown,Unknown,Three to 24,Unknown,Unknown,Unknown,Very dark brown with irridescent scales,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.45,90.0
Mamushi Snake,['Asia'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,"Rodents, small birds, lizards, and insects",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,2-13,Unknown,Mamushi,Unkown,Unknown,Unknown,Unknown,BrownGrey,Unknown,Unknown,14 years,Unknown,12-25 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.45,90.0
Asian Vine Snake,['Asia'],Animalia,Chordata,Reptilia,Squmata,Colubridae,Ahaetulla,Ahaetulla prasina,"Frogs, lizards, insects, small birds",Neonate or snakelets,Unknown,Unknown,None,Pencil-thin body,"Gunther’s whip snake, Oriental whip snake, and Boie’s whip snake",Unknown,Unknown,Carnivore,Unknown,Unknown,Asian vine snake,Unkown,Unknown,Unknown,Unknown,YellowBlueGreen,Scales,Unknown,5 - 12 years,Unknown,2.5 - 5 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Their head is spear-shaped and pointed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Frogs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.45,90.0
Black Mamba,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,D. polylepis,"Bush babies, hyraxes, birds and their young, mammals, occasionally other snakes.",Hatchlings,Solitary,Unknown,Unknown,The inside of a black mamba's mouth is black.,Unknown,Unknown,Unknown,Carnivore,Unknown,Diurnal,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyOlive,Scales,20 mph,"Captive specimens have lived 11 years, but unknown in the wild.",Unknown,6-9.5 feet long with a few reports of specimens reaching 14 feet.,Unknown,Unknown,Unknown,"Secretary birds, brown snake eagles, tawny eagles, and other birds of prey; honey badgers, mongooses, and Nile crocodiles.",Unknown,Unknown,Unknown,"Skittish, and prone to strike out of fear.",Unknown,Unknown,Unknown,Unknown,Unknown,Birds and their young,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.45,90.0
Red Tail Boa (common boa),"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,Boa constrictor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,boa constrictor,Unkown,Unknown,Unknown,Unknown,BrownGreyCreamMulti-colored,Unknown,Unknown,20-30 years,Unknown,Unknown,Unknown,Unknown,10-65,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.45,90.0
Copperhead,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon contortrix,"Insects, lizards, mice, voles, shrews, snakes, small turtles, salamanders, frogs, small birds, baby squirrels, rabbits and opossums, chipmunks, bats, moles, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Copperhead, rattlesnake pilot, thunder snake, moccasin, highland or dry-land moccasin",Unkown,Unknown,Unknown,Unknown,TanDark BrownPinkLight-Brown,Scales,Unknown,Lifespan of 15 to 29 years,Unknown,Unknown,Unknown,Unknown,One to 21,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
