name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Slow Worm,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,,,,,,,,,Grassland and woodlands,Carnivore,,Solitary,,,,Found widely throughout British gardens!,,BrownGreyYellowBlackTan,Scales,0.3 mph,10 - 30 years,20g - 100g (0.7oz - 3.5oz),20cm - 50cm (8in - 20in),,,,"Cats, Dogs, Birds",Reptile,,Long snake-like body and small eyes,,,,,,8.0,,,"Insects, Slugs, Worms",,,,,,Insects,,,,
Snowy Owl,"['Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus,,,,,,,,,Woodland within the Arctic tundra,Carnivore,,Solitary,,,,One of the largest owl species in the world!,,GreyBlackWhite,Feathers,50 mph,10 - 17 years,1.1kg - 2kg (2.4lbs - 4.4lbs),,,,,"Human, Foxes, Wild dogs",Bird,60cm - 75cm (24in - 30in),Black and white markings and large head,,,130cm - 164cm (51in - 65in),,,7.0,,,"Lemmings, Voles, Fish",,,,,,Lemmings,,,,
Opossum,['North-America'],Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis Virginiana,,,,,,,,,Forest and farmland close to water,Omnivore,6,Solitary,,,,Thought to be immune to certain snake venom!,,BrownGreyBlackWhite,Fur,15 mph,2-7 years,0.5-6kg (1.1-13lbs),,,,,"Fox, Cat, Birds of Prey",Mammal,,,,,,,,,,,"Fruit, Insects, Frogs",,,,,,Fruit,,,,
Possum,['Oceania'],Animalia,Chordata,Mammalia,Diprotodontia,Phalangeriformes,Phalangeridae,Phalangeriforme,,,,,,,,,Bushland and rainforest,Omnivore,2,Solitary,,,,There are 69 species on the Australian continent!,,BrownGreyBlackWhiteTan,Fur,15 mph,5-8 years,0.1-14.5kg (0.22-32lbs),,,,,"Fox, Cat, Birds of Prey",Mammal,,,,,,,,,,,"Insects, Leaves, Flowers",,,,,,Insects,,,,
Worm,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Annelida,Clitellata,Haplotaxida and Lumbriculida,,,,Dead animals,Hatchlings,Herd,57 billion,Any predator,Long cylindrical body,Earthworm,2-4 weeks,Anywhere with moist soil,Omnivore,,,Earthworm,,Worldwide,,Group,BrownGreyWhitePink,Skin,,4-8 years,Varies by species,Varies by species,30-60 days,,1-20,"Small mammals, birds, amphibians, reptiles, other insects",Invertebrate,Varies by species,,,,,,,,,,,,,,,,,,,,
Ox,"['Asia', 'Central-America', 'South-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,They are hernivores,calve,Herd,,Wolves and bears,Large horns,Bullocks,,Human sheltering,Herbivore,,,ox,1.0,"North America, India, Asia, Australia, Africa",,,BrownGreyBlackWhite,Hair,16 mph,18–22 years,"Between 1,500 and 3,000 pounds",,,,,Bears and wolves,mammal,,,,,,,,,,,,,,,,,,,,,
Potoo,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,"Nyctibius bracteatus, Nyctibius grandis, Nyctibius aethereus, Nyctibius leucopterus, Nyctibius maculosus, Nyctibius griseus, Nyctibius jamaicensis","Large insects, a bat or small bird occasionally",,,"Possibly in the millions, though the population trend of the common potoo is decreasing. The conservation status of the seven species of potoos is least concern.",habitat destruction,Its eyes,"Poor-me-ones, urutau",,Rainforest and forest edges,Carnivore,1,,Potoo,7.0,"South and Central America, Mexico, Hispaniola",,,BrownGreyRedBlackWhite,,,10 years,12.69 to 22.91 ounces,8.3 to 22.8 inches,,,1,"Monkeys, tayras, birds of prey",Bird,,,,,27.6 to 31.7 inches,one month,,,,,,,,,On a hollow in a tree limb,25 to 55 days,,,1.0,,
Potoroo,['Oceania'],Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Potorous tridactylus,"Insects, grass, roots, and cranberries",Joey,Solitary,,"Predation by foxes, feral cats, snakes, owls","Long, prehensile tail",rat-kangaroo and kangaroo rat,30 days,"Wet forests, scrublands",Omnivore,,,Potoroo,4.0,Australia,,Solitary,BrownGreyWhite,Fur,,5-7 years,,12-16 inches,1 year,5.5 months,1,"Feral cats, red foxes, owls",Mammal,,,,,,,,,,,,,,,,,,Australia,,,
Trout,"['Asia', 'Europe', 'North-America']",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,"Salmo, Oncorhynchus, Salvelinus","Salmo obtusirostris, Salmo trutta, Salmo trutta morpha fario, Oncorhynchus clarki, O.c. pleuricius, Oncorhynchus mykiss, Salvelinus fontinalis, Salvelinus malma, Salvelinus confluentus","Crayfish, minnows, insects",,School,Unknown,Climate change,Spotted dorsal fin,Steelhead,66-104 days,"Rivers, streams, lakes",Carnivore,,,Trout,14.0,,,,BrownSilverPink,Scales,8 mph,18 to 40 years,10 to 30 pounds,1 to 2 feet,,,,"Humans, bears, eagles",Fish,,,,,,,,,,,,Fresh,,,,,,,,6.5 to 8,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra mollis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra polychaeta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra propinqua,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra brandorffi,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra fennica,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra longicornicula,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra polyodonta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra reducens,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra bulgarica,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra intermedia,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra intermedia,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra mira,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra oxyuris,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra oxyuris,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra jenkinae,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Horaella,Horaella brehmi,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Horaella,Horaella thomassoni,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia australiensis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia camasecla,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia hofmanni,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia longiseta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia opoliensis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia pejleri,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia brachiata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia brachiata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia cornuta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia limnetica,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia minuta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia minuta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia passa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia saltator,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia grandis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia novaezealandiae,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia terminalis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Trochosphaera,Trochosphaera solstitialis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Trochosphaera,Trochosphaera aequatorialis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura agassizi,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura seminatans,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura brachiata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura stygis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura stygis,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura velata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura velata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura kostei,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura longicornis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura mucicola,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura rotifer,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura beauchampi,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura beauchampi,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura stephanion,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura cristata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura elsteri,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura tridorsicornis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura intermedia,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura linguata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura pilula,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura pilula,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura pilula,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura barbata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura spongicola,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura brevis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura tacita,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura crystallina,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura tihanyensis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura furcillata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura furcillata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura wilsonii,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura libera,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura melicerta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura pedunculata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia pedunculata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia melicerta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia janus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia janus,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia conifera,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Limnias,Limnias ceratophylli,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Limnias,Limnias ceratophylli,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Limnias,Limnias melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Limnias,Limnias melicerta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina socialis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina socialis,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina ariprepes,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina semibullata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina semibullata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina spinosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina procera,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina triglandularis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
