name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella elliptica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca thunmarki,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Scottish Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlackBrindleBeige,Hair,Unknown,12-15 years,22 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Confident, independent, and alert",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Amazon Parrot,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Unknown,Unknown,Unknown,Unknown,"The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",Unknown,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,Unknown,Unknown,Amazon Parrot,35.0,"South America, the Caribbean, Mexico, South Africa, Europe",Unknown,Unknown,YellowRedBlueGreenPurple,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,Unknown,Unknown,Two to five,"Monkeys, birds of prey, snakes",Bird,Unknown,Unknown,Unknown,Unknown,8 inches to 11.26 inches,About a month,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tree cavity,Two months,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha tranquilla,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Czechoslovakian Wolfdog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,puppy,Unknown,Unknown,Unknown,"upright, triangle ears",Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,GreySilver,Hair,62 mph,10-15 years,Unknown,Unknown,Unknown,Unknown,6-7 puppies,Unknown,mammal,Unknown,Unknown,"Intelligent, athletic, and loyal",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Czechoslovakia and Slovakia,Unknown,Unknown,Unknown,
Afghan Hound,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,7,Unknown,Afghan Hound,Unkown,Unknown,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Hound,Unknown,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Horned Adder,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,B. caudalis,"Lizards such as geckos, small mammals and birds.",Unknown,Solitary,Unknown,"Agricultural and commercial development, overgrazing, roadways.",Single scale above the eye that creates a horn.,"Horned viper, horned puff adder, Horingadder, Horingsman (Afrikaans)",Unknown,"Wide range of habitats, but prefers more arid conditions where there's loose sand to bury themselves in.",Carnivore,Unknown,Nocturnal,"Horned adder, Horingadder, Horingsman (Afrikaans), horned viper.",1.0,Unknown,Unknown,Unknown,BrownGreyYellowFawnRed,Scales,Unknown,Unknown,Unknown,"12-15 inches, but can reach 20 inches long in the wild.",Unknown,Unknown,4-19,"Birds of prey, larger mammals.",Unknown,Unknown,Unknown,Relatively mellow.,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Havapoo,[],Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca trifidlobata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia adhaerens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella mascarensis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Chinstrap Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis Antarcticus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rocky Antarctic Islands,Carnivore,2,Colony,Unknown,Unkown,Unknown,There are 7 million breeding pairs!,Unknown,GreyBlackWhite,Feathers,Unknown,15 - 20 years,3kg - 6kg (6.6lbs - 13lbs),Unknown,Unknown,Unknown,Unknown,"Leopard Seal, Killer Whale, Sea Birds",Bird,60cm - 68cm (24in - 27in),"White face and thin, black line that runs under the chin",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Krill, Fish, Shrimp",Unknown,Unknown,Unknown,Unknown,Unknown,Krill,Unknown,Unknown,Unknown,Unknown,
Affenpinscher,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,3,Unknown,Affenpinscher,Unkown,Unknown,First bred in 17th century Germany!,Dog,GreyBlack,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Terrier,Unknown,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha angularis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria mento,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura wilsonii,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Barb,"['Africa', 'Asia', 'Eurasia', 'South-America']",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus,"Small fish, algae, insects",Unknown,School,unknown,water pollution,vibrant colors,Unknown,3-4 days,Slow flowing rivers and lagoons,Omnivore,Unknown,Unknown,Barb,1768.0,Unknown,There are over 1768 known species!,Unknown,YellowRedBlackWhiteOrangeSilver,Scales,Unknown,3 - 7 years,Unknown,2-13 inches,Unknown,Unknown,Unknown,"Fish, Birds, Reptiles",Cypriniformes,Unknown,Easily adaptable and rows of teeth,Unknown,Unknown,Unknown,Unknown,Unknown,1500.0,Unknown,Unknown,"Fish, Shrimp, Algae",Fresh,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,6.0 - 8.0,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria curtipes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Horsefly,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Unknown,Unknown,Mammals,"Maggot, larva",Solitary/Group,"Millions, and growing",Humans,Its bite,"Tabanus, gadfly, gleg, stout, dunfly, deerfly, buffalofly moosefly, elephantfly, breezefly, Marchfly",Eggs hatch after six days,"A variety of habitats, but not those that are too high, too dry or too cold.",Omnivore,Unknown,Unknown,Horsefly,Unkown,"Everywhere save the North and South poles and some islands, including Hawaii",Unknown,Swarms during mating season,GreyBlack,Unknown,90 mph,30 to 60 days as an adult,12 milligrams,Between 0.2 and 1.25 inches,Immediately after pupating,Unknown,100 to 1000 eggs,"Parasitic wasps, birds, horse guard wasp",Insect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Pekingese,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Pekingese,Unkown,Unknown,"Thought to be over 2,000 years old!",Working Dog,Unknown,Hair,Unknown,13 years,6kg (14lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Albatross,"['Africa', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Unknown,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,Unknown,Unknown,Albatross,Unkown,The Southern Hemisphere and North Pacific,Unknown,Unknown,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,Unknown,1,"Humans, sharks, cats, and rats",Bird,Unknown,Unknown,Unknown,Unknown,Up to 3.3m (11ft),Unknown,3 to 10 months,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Crested Gecko,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Diplodactglidae,Correlophus,Correlophus ciliatus,"Insects, arthropods such as spiders",hatchling,Solitary,Unknown,"Habitat destruction, introduction of invasive species.",The fringed crests that shade their eyes and run down the back and over the legs,"New Caledonian crested gecko, eyelash gecko",90 to 190 days,Rainforest from 492 to 3281 feet,Omnivore,Unknown,Unknown,crested gecko,1.0,New Caledonia,Unknown,solitary,YellowRedTanOrangePeach,Scales,30 mph,10 to 20 years in captivity,1.06 to 1.23 ounces,six to 10 inches,nine months to one year,Unknown,two,"Fire ants, dogs, cats, snakes, rats, other geckos",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia bdelloidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Australian Gecko,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Unknown,Unknown,Unknown,"Insects, smaller lizards, invertebrates",Hatchling,Solitary/Group,Millions. Conservation status of many of these geckos is least concern.,Illegal pet trade,"The ability to climb up just about anything, including glass.","Moon lizard, Tayoto, nactus, dtella, chichak",30 to 80 days,Unknown,Omnivore,Unknown,Unknown,Australian gecko,Unkown,Australia,Unknown,Unknown,GreyYellowGreenOrangePink,Skin,Unknown,Five to 15 years,1.6 to 2.82 ounces,0.64 to 6 inches,One to two years,Unknown,One or two eggs,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus unicornis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Rhinoceros,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Unknown,Rhinocerotidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Tropical bushland, grassland and savannas",Herbivore,1,Solitary,Unknown,Unkown,Unknown,It's horns are made from keratin!,Unknown,BrownGreyBlack,Leather,30 mph,35-50 years,"800-3,500kg (1,765-7,716lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Wild cats",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Fruit, Berries, Leaves",Unknown,Unknown,Unknown,Unknown,Unknown,Grass,Unknown,Unknown,Unknown,Unknown,
Hyena,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta,Crocuta Crocuta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Open savanna plains and grassland,Carnivore,3,Pack,Unknown,Unkown,Unknown,There are four different species!,Unknown,BrownBlackTan,Fur,37 mph,20-25 years,41-86kg (90-190lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Wildebeest, Monkey, Birds",Unknown,Unknown,Unknown,Unknown,Unknown,Wildebeest,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella cryphaea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina gregaria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina calceata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Armadillo Lizard,['Africa'],Animalia,Chordata,Reptilia,Squamata,Cordylidae,Ouroborus,Ouroborus cataphractus,Mainly desert insects,Baby,Group,Unknown,Black market poaching,"Scaled, spiky shell","Armadillo girdled lizard, Golden-armadillo lizard, dragon armadillo lizard",Two months,South African deserts,Carnivore,Unknown,Unknown,Armadillo lizard,Unkown,Desert,Unknown,Squamata,YellowBlackDark BrownLight-Brown,Scales,-1 mph,"In captivity, 25 years",2.5–3.5 oz,Up to 3.75 inches,3 to 4 years,Unknown,1-2,Birds of prey,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Desert insects, scorpions, plants",Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha nodulata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca libera,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Grey Mouse Lemur,['Africa'],Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus murinus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical Woodland,Omnivore,2,Solitary,Unknown,Unkown,Unknown,The largest species of mouse lemur!,Unknown,BrownGreyBlackWhite,Fur,20 mph,3 - 8 years,58g - 67g (2oz - 2.4oz),25cm - 28cm (9.8in - 11in),Unknown,Unknown,Unknown,"Owls, Snakes, Fossa",Mammal,Unknown,Small body size and large eyes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Fruits, Flowers",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha incola,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Blue Tit,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,"Insects, spiders, fruits, and seeds",Unknown,Unknown,20-44 million pairs,Habitat loss,The bright blue crown and black eye stripe,Blue cap or blue bonnet,Unknown,"Woodlands, hedgerows, parks, and gardens",Omnivore,Unknown,Unknown,Blue Tit,3.0,"Europe, Asia, and Africa",Unknown,Unknown,GreyYellowBlueBlackWhite,Unknown,20 mph,Up to 10 years old,11g (0.4oz),Unknown,Unknown,Unknown,Unknown,"Cats, sparrowhawks, squirrels, and weasels",Bird,12cm (5in),Unknown,Unknown,Unknown,18cm (7in),16 days,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Holes in trees, walls, or nest boxes",3 weeks,Unknown,Unknown,1.0,Unknown,Unknown,
