name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos
Fluke Fish (summer flounder),['Ocean'],Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys dentatus,"Crabs, squid, shrimp, forage fish such as anchovies, and even smaller flounders!",,,,,,,,Near shore during summers and offshore during fall and winter,Omnivore,,,Fluke and Summer Flounders,,Off the U.S. and Canadian Atlantic Coast,The chameleon of the seas!,Flatfish,Brown,Hair,,Up to 14 years,Rarely exceeds 20 pounds,Females grow up to 3 feet,No later than 3 years,,,"Monkfish, sharks, rays",,,,,,,,,,,,Up to 4 million,,,,,Can change color and texture like a chameleon!,,1,0,0
Goldfish,['Asia'],Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,"Insects, small crustaceans",,Gregarious,Many millions,None,The orange-gold color of domestic fish,,,"Cold freshwater rivers, canals, ditches with lots of vegetation",Omnivore,,,Fish,1.0,,,,BlackWhiteOrangeOliveGolden,Scales,0.86 mph,Up to 41 years,Up to 5 pounds,1 to 2 inches to over 16 inches,,,,"Waterbirds, turtles, larger fish",Fish,,,,,,,,,Fresh,,,,,,6.0 to 8.0,,,1,0,0
Needlefish,"['Africa', 'Asia', 'Central-America', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Platybelone,Platybelone argalus,"crustaceans, small fish, frogs, insects",,School,unknown,fishing,long serrated beak,long toms,10-15 days,"bays, inlets, rivers",Carnivore,,,"needlefish, garfish",60.0,,,,BlueWhiteGreenSilver,Scales,38 mph,unknown,up to 5 lbs.,2 inches to 4 feet,,,,"tuna, dolphins, humans",belonidae,,,,,,,,,Salt,,,,,,6-8,,,1,0,0
Eel,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Actinopterygii,Anguilliformes,,,,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,,Unknown,"Ocean, river, freshwater",Carnivore,,,Eel,800.0,,,,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),,,,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",,,,,,,,,Salt,,,,,,,,,1,0,0
Fire Eel,['Asia'],Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus erythrotaenia,"bloodworms, shrimp, invertebrates, small fish",,,,Overfishing,Bright red stripes and snake-like appearance.,,A few days,"rivers, lakes",Omnivore,,,Fire Eel,,,,,BrownGreyRedOrange,Scales,,10 - 20 years (captive vs wild),,20 - 40 inches (captive vs wild),,,,,Fish,4 inches,,,,,,,,Fresh,,,,,,6.8 - 7.6,,,1,0,0
Flowerhorn Fish,"['Asia', 'North-America']",Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,,,"Shrimp, worms, insects, and plant matter",Larvae and fry,Solitary,Unknown,None,The bulbous skin on the forehead,Flowerhorn Cichlid,1 - 2 weeks,Freshwater,Omnivore,,,Flowerhorn Fish,1.0,Worldwide,,,RedBlueBlackWhiteGreenOrange,Scales,,Up to 12 years,About 0.5kg (1lb),Up to 40cm (16in),Up to a year,A few days,,Larger fish,Ray-finned fish,,,,,,,,,,,"Up to 1,000 at a time",,,,,,,1,0,0
Grouper,"['Africa', 'Central-America', 'North-America', 'Ocean', 'South-America']",Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,Epinephelinae,"Other fish, sea turtles, small sharks, crustaceans, octopuses, zooplankton",,SolitaryGroup,Unknown,"Overfishing, habitat destruction",A robust body and a huge mouth,"Hamlets, hinds, podges, lyretails",1-2 days,Tropical and subtropical seas,Carnivore,,,Grouper,160.0,,,,BrownYellowRedBlackGreen,Scales,,11-100 years,,Between 10 to 12 inches and 8.2 feet,,,,"Humans, larger groupers, sharks, barracudas",Fish,,,,,,,,,Brackish,,,,,,6.0-8.0,,,1,0,0
Herring,['Ocean'],Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,,"Zooplankton, phytoplankton",,School,Variable and depending on species,Overfishing,Huge schools,"Silver darlings, silver of the sea",11-40 days depending on water temperature,Temperate waters,Carnivore,,,Herring,200.0,,,,Silver,Scales,-3 mph,8-22 years depending on species and location,0.41-1.05kg (0.90-2.3lb),10.5-60cm (4.1-23.6in),,,,"Seabirds, marine mammals, predatory fish, fishermen","Vertebrate, Clupeoid",,,,,,,,,Salt,,,,,,,,,1,0,0
Pike Fish,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox,"Mostly other fish, frogs, waterfowl",,,,,,,,Slow moving water,Carnivore,"100,000",,Pike,,,Apex freshwater predators with fearsome teeth!,,GreyBlueBlackWhite,Smooth,,12 - 15 years,,0.5m - 1.8m (20in - 71in),,,,,,,Elongated body and strong jaw,,,,,,"Fish, Frogs, Insects",,,,Fish,,,6 - 8,,,1,0,0
Pipefish,['Ocean'],Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathinae,Crustaceans and plankton,,Solitary,Unknown,Habitat changes,The tube-like snout,None,2 weeks,Oceans and estuaries,Carnivore,,,Pipefish,200.0,,,,YellowRedBlueGreen,Boney Plates,,5-10 years,Less than 0.5kg (1lb),2-65cm (1-26in),,,,"Gars, perch, drums, weakfish, and bass",Ray-finned fish,,,,,,,,,Salt,,,,,,8.1-8.4 pH,,,1,0,0
Pufferfish,['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,Tetraodontidae,,,Solitary,unknown,habitat loss,inflatable air sack,"Blowfish, balloonfish, swellfish",4-7 days,Tropics,Carnivore,,,Pufferfish,,,The second most poisonous creature in the world!,,BrownGreyYellowBlueWhite,Spikes,,10 years,20-30 lbs,1 inch - 2 feet,,,,"Humans, Sharks, Large Fish",Tetraodontidae,,Inflatable body and sharp poisonous spikes,,,6.0,,,"algae, invertebrates, shellfish",Salt,,,,,,5.7 - 6.4,,,1,0,0
Squirrelfish,['Ocean'],Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis,"Meroplankton, shrimp",Fry,Social,,Habitat loss,Large protuberant eyes,"Soldierfish, striped squirrelfish",48-72 hours,Tropical and subtropical reefs,Carnivore,,Social,Squirrelfish,70.0,Atlantic Ocean,,School,RedSilver,Scales,,2-4 years,,6-10 inches,5 inches,,"500-1,000",Larger fish and sea birds,Fish,1-2 inches,,,,,,,,Salt,,,,,,8.1-8.4,,,1,0,0
Sturgeon,['Ocean'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,"Shells, crustaceans, small fish",,,,Overexploitation,Elongated body and plates,, 8 to 15 days,"Oceans, gulfs and lakes",Carnivore,,,Sturgeon,29.0,,,,GreyBlackWhiteOlive,Smooth,,50 to 60 years,"200 to 1,800 pounds",Up to 22 feet long,,,,,Fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Surgeonfish,"['Central-America', 'North-America', 'Ocean']",Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,,,,,SolitarySchool,"Though the exact population of surgeonfish is not known, none of these fish appear to be endangered. The overall conservation status is not evaluated.","Climate change, pollution",Scalpel-like spines on the side of the tail that can deliver serious cuts,"Tang, doctorfish",24 hours,,Herbivore,,,Surgeonfish,,Warm seas around the world,,,,Scales,,,1.3 pounds,6 inches to over 6 feet,,,,"Eels, larger fish, rays",Fish,,,,,,,,,,,,Zooplankton,,,,,,1,0,0
Wolf Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,"Crabs, sand dollars, abalone, sea urchins, clams, mussels, fish, and squid",,Solitary/Pairs,unknown,Harbor seals,Powerful jaws and sharp teeth,, 91 to 112 days,Ocean,Carnivore,,,Wolf Eel,-2.0,,,,BrownGreyGreen,Scales,,25 years,41 pounds,Up to 8 feet,,,,Harbor seals and sharks,,,,,,,,,,,,,"Crabs, sand dollars, abalone, sea urchins, clams, mussels, fish, and squid",,,,,,1,0,0
Flying Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,,"Plankton, crustaceans, and fish",,School,Unknown,Overfishing,Wing-like fins,Flying cod,Varies,Oceans,Omnivore,,,Flying fish,40.0,,,,BlueBlackWhiteSilver,Scales,35 mph,5 years on average,Up to 2lbs,15cm – 51cm (6in – 20in),,,,"Marlins, tuna, squid, porpoises, birds, and humans",Ray fin fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Frogfish,['Ocean'],Animalia,Chordata,Actinopterygii,Lophiformes,Antennariidae,,,"Crustaceans, other fish, including other frogfish",,Solitary,Unknown conservation status not evaluated,"Habitat destruction, pollution",Their ability to camouflage,"Anglers, anglerfish, sea mice",Two months,Semitropical and tropical seas save the Mediterranean,Carnivore,,,Frogfish,52.0,,,,Multi-colored,Scales,,As much as 20 years,At least 1.12 ounces,2 to 16 inches,,,,"Moray eels, other fish, sea birds",Fish,,,,,,,,,Salt,,,,,,8.1,,,1,0,0
Koi Fish,['Asia'],Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,"Cyprinus rubrofuscus ""koi""","Aquatic insects and their larvae, crustaceans, worms, its own young",,School,"Hundreds of thousands, at least",None,Its beauty,"Nishikigoi, koi carp",Four to seven days,Private and public bodies of fresh water,Omnivore,,,Koi fish,1.0,,,,GreyYellowRedBlackWhiteGreenOrangeSilver,Scales,,25 to 200 years,35 pounds,39 inches,,,,"Wading birds such as herons, small mammalian carnivores",Fish,,,,,,,,,Fresh,,,,,,7.0 to 8.5,,,1,0,0
Lionfish,['Ocean'],Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois volitans,,,,,,,,,Tropical reefs and rocky crevices,Carnivore,,,Lionfish,,,"Females can release up to 15,000 eggs at a time!",,BrownRedBlackWhiteOrange,Scales,,10 - 18 years,,30cm - 35cm (12in - 14in),,,,"Eels, Frogfish, Scorpion Fish",,,Striped body markings with long spines,,,8000.0,,,"Fish, Shrimp, Crabs",Salt,,,Fish,,,8.1 - 8.4,,,0,0,1
Lumpfish,['Ocean'],Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,"Crustaceans, worms, jellyfish, herring, sand lance, and more",,Solitary,Unknown,Overfishing,"The lumpy, gelatinous flesh",Lumpsuckers,1-2 months,Atlantic and Pacific Oceans,Carnivore,,,Lumpfish,30.0,,,,BrownGreyBlueBlackWhite,Skin,,6-13 years,Up to 9.5kg (21lbs), 2-61cm (1-24in),,,,"Skates, seals, sperm whales, sharks, and orcas",Ray-finned fish,,,,,,,,,Salt,,,,,,Unknown,,,1,0,0
Milkfish,"['Asia', 'Ocean']",Animalia,Chordata,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,Chanos chanos,Algae and small invertebrates,,School,Milkfish production exceeds 1.1 million tons per year,Parasites or nematode infestations that cause tail rot and other health issues,Deeply forked tail,Bandeng or Bangos,1 to 2 days,Tropical freshwater lakes and rivers,Omnivore,,,Milkfish,1.0,,,,BlueWhiteGreenSilver,Scales,,Up to 15 years,Up to 35 pounds,Up to 6 feet or more,,,,Indo-Pacific Tarpons and Tenpounders,Ray-finned fish (Actinopterygii),,,,,,,,,Brackish,,,,,,,,,1,0,0
Monkfish,[],Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,,"Crustaceans, fish, seabirds, otters",,,,Overfishing,"Large mouth and unique ""lure"" to attract prey","goosefish, angler, fishing frogs, Lotte",,"Oceans. Generally found at 20 to 1,000 meter depths.",Carnivore,,,,7.0,,"Called ""The Poor Man's Lobster!""",,Brown,Hair,,Different species live from 10 to 30 years,The angler can weigh up to 127 pounds!,Up to 78 inches,,,,"Sharks, swordfish, large skate species",,,,,,,,,Fish,Salt,,1 million,,,,,,,1,0,0
Wolffish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,,Anarhichadidae,"Crabs, clams, sea urchins, starfish, and others",,Solitary/Pairs,Unknown,Habitat destruction and accidental catches,The long eel-like body and sharp teeth,Sea wolf,Three to nine months,Coastal waters,Carnivore,,,Wolffish,5.0,,,,BrownGreyBlueWhiteGreen,Scales,,At least 12 years,Up to 50 pounds,Up to 7.5 feet,,,,Sharks and humans,Fish,,,,,,,,,,,,,,,,,,1,0,0
Guppy,"['Central-America', 'South-America']",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata,"Algae, plant particles, mosquito larvae",,School,,Water pollution,,"Rainbow fish, millionfish",3-4 weeks,"Streams, shallow pools near bigger bodies of water",Omnivore,,,Guppy,276.0,,Also known as the Millionfish!,,YellowRedBlueBlackWhiteGreenOrangeMulti-colored,Scales,,2 years,Less than 1 gram,0.6 - 2.4 inches,,,,"Birds, larger fish",Cyprinodontiformes,,Brightly coloured body and fins and give birth to live young,,,80.0,,,,Fresh,,,Algae,,,5.0 - 7.0,,,1,0,0
Molly,"['Central-America', 'South-America']",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia,,,,,,,,,Rivers in the Amazon Rainforest,Omnivore,,,Molly,,,Known for their calm and peaceful nature!,,BrownYellowRedBlueBlackWhiteGreenOrange,Scales,,3 - 5 years,,5cm - 10cm (2in - 4in),,,,,,,Large-sized fins and bear live young,,,80.0,,,"Algae, Insects, Bloodworm",Saltwater,,,Algae,,,7.5 - 8.5,,,1,0,0
Trout,"['Asia', 'Europe', 'North-America']",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,"Salmo, Oncorhynchus, Salvelinus","Salmo obtusirostris, Salmo trutta, Salmo trutta morpha fario, Oncorhynchus clarki, O.c. pleuricius, Oncorhynchus mykiss, Salvelinus fontinalis, Salvelinus malma, Salvelinus confluentus","Crayfish, minnows, insects",,School,Unknown,Climate change,Spotted dorsal fin,Steelhead,66-104 days,"Rivers, streams, lakes",Carnivore,,,Trout,14.0,,,,BrownSilverPink,Scales,8 mph,18 to 40 years,10 to 30 pounds,1 to 2 feet,,,,"Humans, bears, eagles",Fish,,,,,,,,,Fresh,,,,,,6.5 to 8,,,1,0,0
Giant Clam,['Ocean'],Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna gigas,,,,,,,,,Saltwater seafloors,Omnivore,Millions,,Giant Clam,100.0,Indian and Pacific Oceans,Can reach nearly 4ft in length!,,BrownYellowRedBlueGreenOrangePink,Shell,,,100-200kg (220-440lbs),,,,,"Eels, Snails, Starfish",,,,,,,,,"Algae, Phytoplantkon, Nutrients In Water",,,,Algae,,,,,,1,0,0
Zebra Mussels,"['Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,Dreissena polymorpha,"Plankton, waste and debris from water",,Beds (like reefs),unknown,,Alternating dark and light stripes on outer shells,Dreissena polymorpha,two days,"freshwater rivers, lakes and streams",Herbivore,,,Zebra mussel,1.0,,,,BrownWhiteBeige,Shell,,2 to 5 years,,1 inch,,,,"Ducks, fish, crabs",mollusk,,,,,,,,,Fresh,,,,,,,,,0,0,1
Oyster,['Ocean'],Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,,Ostreidae,Algae and other food particles,,Colony,Unknown,"Crabs, seabirds, humans, starfishes",Shells,,7-10 days,Reefs and rocky shores,Omnivore,"1,000,000",,Oyster,200.0,Worldwide,Can process up to 10 litres of water an hour!,,GreyWhiteSilver,Shell,,20 years in captivity,50 grams (medium-sized oyster),62 to 64 mm,,,,"Crabs, seabirds, humans, starfishes",Marine creatures,,,,,,,,,Brackish,,,Algae and other food particles,,,,,,1,0,0
Blanket Octopus,['Ocean'],Animalia,Mollusca,Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus,,Small fish,,Solitary,"Unknown, but status is Least Concern",Natural predators,"Billowing cape (F), tiny size (M)",,,"Surface to mid-water, Coral reef",Carnivore,,,Blanket octopus,4.0,,,,YellowRedBlueWhiteGreenOrangePurplePink,Smooth,,"4 years (F), 1.5 years (M)","6-10lbs (F), under an ounce (M)","3-6ft (F), ~1in (M)",,,,"Blue shark, billfish, tuna",octopoda,,,,,,,,,,,,,,,,,,1,0,0
Colossal Squid,['Ocean'],Animalia,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Mesonychoteuthis,Mesonychoteuthis hamiltoni,"Fish, squid",,,,Natural predators,Massive size,"Antarctic squid, giant cranch squid",,ocean,Carnivore,,Solitary,Colossal squid,,,,,Pink,Skin,,,1300lbs,14m (46ft),,,,Sperm whales,Cephalopod,,,,,,,,,,,,"Fish, squid",,,,,,1,0,0
Vampire Squid,['Not Listed'],Animalia,Mollusca,Cephalopoda,Vampyromorphida,Vampyroteuthidae,Vampyroteuthis,Vampyroteuthis infernalis,"Marine snow, dead planktonic creatures",,Solitary,Not known,"Whales, large fishes, and sea lions",Red or blue eyes,,13 months,Tropical and temperate deep waters around the globe,Omnivore,,,Vampire squid,1.0,,,,RedBlack,Hair,,"8 years of adult life, much longer total life span",Approximately 1 pound,Approximately 12 inches,,,,"Whales, large fishes, and sea lions",Sea creature,,,,,,,,,Salt,,,Marine snow and detritus that contains dead planktonic creatures and fecal pellets,,,,,,1,0,0
Blue-Ringed Octopus,['Ocean'],Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Hapalochlaena,,"Shrimp, crabs, and fish",Larvae,Solitary,Unknown,Habitat changes,The glowing blue rings on the yellow skin,,6 months,Tidal pools and coral reefs,Carnivore,,,Blue-ringed Octopus,4.0,Pacific and Indian Oceans,,,BrownYellowBlueWhite,Skin,,2 years,10-100g (0.35-3.5oz),,A year,,50 eggs,"Seals, birds, eels, and larger fish",Cephalopod,12-25cm (5-10in),,,,,,,,,,,,,,,,,1,0,0
Humboldt Squid,['Ocean'],Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus,Dosidicus gigas,"Fish, crustaceans, and other cephalopods",,School,Unknown,Overfishing,The two fins on the mantle,Jumbo squid,6 - 9 days,Oceans,Carnivore,,,Humboldt Squid,1.0,,,,RedWhite,Skin,15 mph,A year,Up to 110lbs,"1.2 - 2m (4 - 6.5ft), not including tentacles",,,,"Whales, billfishes, sharks, and seals",Cephalopod,,,,,,,,,Salt,,,,,,,,,1,0,0
Cuttlefish,['Ocean'],Animalia,Mollusca,Cephalopoda,Decapodiformes,Sepiida,,Sepiida,,,,,,,,,Coastal and deeper waters,Carnivore,200,,Cuttlefish,120.0,Worldwide,Found throughout the world's oceans!,,BrownYellowRedBlueWhiteGreenOrangePink,Smooth,,,3kg - 10.5kg (6.6lbs - 23lbs),15cm - 50cm (5.9in - 20in),,,,"Fish, Sharks, Cuttlefish",,,Long body shape and large eyes,,,,,,"Crab, Shrimp, Fish",,,,Crab,,,,,,1,0,0
Octopus,['Ocean'],Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,,Octopus Vulgaris,,,,,,,,,Tropical and temperate waters worldwide,Omnivore,80,Solitary,,,,There are around 300 different species!,,BrownRedBlueTanOrangePurple,Smooth,27 mph,2-15 years,5-75kg (11-165lbs),,,,,"Eels, Sharks, Dolphins",Mollusca,,,,,,,,"Crabs, Fish, Scallops",,,,Crabs,,,,,,1,0,0
Squid,['Ocean'],Animalia,Mollusca,Cephalopoda,Teuthida,Oegopsina,,Teuthida,,,,,,,,,Cooler and temperate waters,Carnivore,5,Solitary,,,,Some species are known to have 10 arms!,,BrownGreyBlackWhite,Smooth,18 mph,5-30 years,"0.3-500kg (0.6-1,102lbs)",,,,,"Human, Seal, Whales",Cephalopod,,,,,,,,"Fish, Crabs, Shrimp",,,,Fish,,,,,,1,0,0
Basking Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,Cetorhinus,Cetorhinus Maximus,,,,,,,,,Temperate waters along continental shelves,Carnivore,,,Basking Shark,,,The second biggest fish in the world!,,BrownGreyBlack,Smooth,,20 - 100 years,,6m - 12m (20ft - 39ft),,,,"Sharks, Humans, Killer Whales",,,Enormous mouth and large body size,,,6.0,,,"Fish, Plankton, Invertebrates",Salt,,,Fish,,,5 - 7,,,1,0,0
Blue Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Cephalopods and fish, injured marine mammals",,School,At least 20 million,Humans,Its blue coloration,"Blue dog, blue whaler",9 to 12 months,"The deep, open ocean",Carnivore,,,Blue shark,1.0,,,,GreyBlue,Rough,43 mph,15 years,60 to 121 pounds in males and 205 to 401 pounds in females,11 feet,,,,"Tiger sharks, great white sharks, orcas, humans, sea lions",Fish,,,,,,,,,Salt,,,,,,8.1,,,1,0,0
Bonnethead Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,Sphyrna tiburo,"Crustaceans, cephalopods",,School,"Unknown, but the shark is abundant where it is found",Humans,Its head,"Bonnet shark, shovelhead shark, Bonnetnose shark, bonnet hammerhead",4.5 to 5 months,"Warm, offshore waters",Omnivore,,,Bonnethead shark,1.0,,,,GreyBlack-BrownGrey-Brown,Rough,0.7 mph,,6.6 to 8.8 pounds,20 to 39 inches in length. Females are larger.,,,,"Humans, larger sharks",Fish,,,,,,,,,Brackish,,,,,,,,,1,0,0
Bull Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus Leucas,,,,,,,,,Shallow and tropical waters,Carnivore,10,Solitary,,,,Unpredictable and aggressive temperament!,,GreyBlue,Scales,25 mph,16 - 25 years,90kg - 230kg (200lbs - 500lbs),2.1m - 3.5m (7ft - 11.5ft),,,,"Human, Tiger sharks",Fish,,"Flat, rounded snout and two dorsal fins",,,,,,"Fish, Sharks, Stingray",,,,Fish,,,,,,1,0,0
Chimaera,['Ocean'],Animalia,Chordata,Chondrichthyes,Chimaeraformes,,,Chimaeraformes,"Molluscs, crabs, marine worms",,,,Commercial fishing trawlers,"Dead eyes, fleshy snouts","Rabbitfish, rat fish, ghost shark",6-12 months,Deep ocean,Carnivore,,,"Chimaera, ghost shar",48.0,,,,BrownGreyWhite,Smooth,,~30 years,Up to 5 lbs.,1-5 ft.,,,,"Humans, sharks, larger fish",Chimaeraformes,,,,,,,,,Salt,,,,,,,,,1,0,0
Cookiecutter Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,Isistius,,"large squid, gonostomatids, crustaceans",,Solitary,Unknown,Ocean pollution,Cookiecutter sharks glow,Cigar shark,,Ocean,Carnivore,,,Cigar shark,2.0,,,,Brown,Rough,,Up to 25 years,,14-22 inches,,,,large sharks and bony fish,Dalatiidae,,,,,,,,,Salt,,,"Marlin, tuna, other sharks, stingrays, seals and whales",,,,,,1,0,0
Frilled Shark,['Least Concern'],Animalia,Chordata,Chondrichthyes,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,Chlamydoselachus anguineus,"Squid, smaller sharks, bony fish",,Solitary,Unknown,, Long and slender eel-like bod,"Frill-Gilled Shark, Scaffold Shark, Silk Shark, Greenland Shark, Fringe Shark, Lizard Shark",Possibly as long as 42 months,Deep sea,Omnivore,,,Frilled Shark,2.0,Deep sea,,,GreyDark Brown,Scales,,Estimated to be about 25 years,,3.2 to 3.6 feet on average (males); 4.4 to 4.9 feet on average (females); maximum length of 6.4 feet,,,,Other shark species,,,,,,,,,,Salt,,,"Squid, smaller sharks, bony fish",,,,,,1,0,0
Goblin Shark,['Least Concern'],Animalia,Chordata,Chondrichthyes,Lamniformes,Mitsukurinidae,Mitsukurina,Mitsukurina owstoni,"Teoeost fish, cephalopods, and crustaceans",,,,Blue Sharks,Catapulting snout,Living Fossil,,Deep Sea,Carnivore,,,Goblin Shark,1.0,,,,TanPink,Scales,15 mph,About 60 years,330 to 460 pounds,9.8 to 13.1 feet,,,,Blue Sharks,,,,,,,,,,,,,"Teoeost fish, cephalopods, and crustaceans",,,,,,1,0,0
Great White Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,Carcharodon carcharias,"Seals, Sea Lions, Dolphins",Pup,Solitary,Unknown,Hunting and habitat degredation,,"White Shark, White Pointer Shark",,"Temperate, coastal waters and open ocean",Carnivore,,Diurnal,Great White Shark,1.0,Worldwide,Can grow to more than 8 meters long!,Fish,GreyBlackWhite,Tough,15 mph,30 - 40 years,"1,110kg - 2,240kg (2,450lbs - 4,938lbs)",5.5m - 8m (18ft - 26ft),17 years,,,,,,Large pointed snout and powerful tail fin,,12 - 18 months,,,,,,From birth,9,,,,5 - 7,,,0,1,0
Greenland Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,Somniosus microcephalus,"Smaller sharks and small whales, herring, cod and other fish, seals and squid.",Pup,Largely solitary,Several thousand,"Climate change, overfishing",Their great age.,"Gurry, eqalussuaq, grey shark, sleeper shark",Eight to 18 years,"Deep, cold, waters of the North Atlantic and the Arctic Oceans.",Carnivore,,,Greenland Shark,1.0,"Canada, Greenland, Iceland",,School or shiver,GreyBlack-Brown,Rough,-0.24 mph,250 to 500 years,2200 pounds,21 feet,150 years,,10,Humans,Fish,,,,,,,,,,,,"Greenland shark food includes fish, marine mammals and carrion.",,,,,,1,0,0
Grey Reef Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus Amblyrhynchos,,,,,,,,,Warm waters and coral reefs,Carnivore,4,Solitary,,,,One of the most common shark species!,,GreyBlackWhite,Smooth,25 mph,22-28 years,20-30kg (44-66lbs),,,,,"Human, Larger sharks",Fish,,,,,,,,"Fish, Crab, Squid",,,,Fish,,,,,,1,0,0
